Year,Team,Players,Position,BaseSalary,BaseNum,GK_Score,D_tackles_won_pct,D_interceptions,D_clearances,D_pressure_regain_pct,M_passes,M_passes_pct,F_goals,F_shots_on_target_pct
2019,chelsea Fc,Marco van Ginkel,M,2750000,2.75,,0,0,0,0,0,0,0,0
2019,chelsea Fc,Reece James,D,2600000,2.6,,0.547619048,14,39,26.9,1268,83.2,0,16.7
2019,chelsea Fc,Billy Gilmour,M,2250000,2.25,,0,0,0,0,169,89.3,0,0
2019,chelsea Fc,Kurt Zouma,D,2080000,2.08,,0.515151515,26,181,31.1,1982,89.4,0,33.3
2019,chelsea Fc,Ruben Loftus-Cheek,F,1560000,1.56,,0,0,0,0,131,88.5,0,0
2019,chelsea Fc,Isaiah Brown,F,1300000,1.3,,0,0,0,0,0,0,0,0
2019,chelsea Fc,Fikayo Tomori,D,750000,0.75,,0.5,15,93,32.2,1098,89.3,0,0
2019,chelsea Fc,Charly Musonda,M,550000,0.55,,0,0,0,0,0,0,0,0
2019,chelsea Fc,Danilo Pantic,M,0,0,0,0,0,0,0,0,0,0,0
2019,chelsea Fc,Willy Caballero,GK,1820000,1.82,0.965559656,0,0,0,0,0,0,0,0
2019,chelsea Fc,Kepa Arrizabalaga,GK,7800000,7.8,0.965067651,0,0,0,0,0,0,0,0
2019,crystal Palace,Wilfried Zaha,F,6760000,6.76,,0.688888889,22,4,29.2,1188,78.7,4,27.9
2019,crystal Palace,Max Meyer,M,6500000,6.5,,0.470588235,4,3,27.1,213,75.1,0,0
2019,crystal Palace,Christian Benteke,F,6240000,6.24,,0,0,0,0,326,58.3,2,45.2
2019,crystal Palace,Mamadou Sakho,D,5200000,5.2,,0.583333333,7,53,28.3,516,87.4,0,0
2019,crystal Palace,Wilfried Zaha,F,5200000,5.2,,0.688888889,22,4,29.2,1188,78.7,4,27.9
2019,crystal Palace,Gary Cahill,D,3380000,3.38,,0.666666667,13,134,33,953,86.7,0,25
2019,crystal Palace,Cheikhou Kouyate,M,3380000,3.38,,0.642857143,18,79,29.4,860,75.9,1,21.7
2019,crystal Palace,Scott Dann,D,3120000,3.12,,0.416666667,11,80,39,555,83.1,0,0
2019,crystal Palace,Connor Wickham,F,3120000,3.12,,0,0,0,0,0,0,0,0
2019,crystal Palace,Jeffrey Schlupp,D,2912000,2.912,,0.3,7,15,24.2,342,74.9,3,50
2019,crystal Palace,James McArthur,M,2860000,2.86,,0.636363636,40,57,28.2,1474,78.2,0,20.7
2019,crystal Palace,Luka Milivojevic,M,2860000,2.86,,0.616666667,27,66,26,1506,77.1,3,24.1
2019,crystal Palace,Jairo Riedewald,D,2860000,2.86,,0,0,0,0,400,75.3,0,0
2019,crystal Palace,Andros Townsend,F,2860000,2.86,,0.625,13,10,22.4,460,70.7,1,41.7
2019,crystal Palace,Patrick Van Aanholt,D,2860000,2.86,,0.62745098,23,67,27.7,1558,78.8,3,19.2
2019,crystal Palace,James McCarthy,M,2600000,2.6,,0.545454545,14,19,29.8,818,77,0,27.3
2019,crystal Palace,James Tomkins,D,2600000,2.6,,0.466666667,12,138,32.6,626,80.7,0,0
2019,crystal Palace,Wayne Hennessey,GK,2080000,2.08,,0,0,0,0,0,0,0,0
2019,crystal Palace,Joel Ward,D,1820000,1.82,,0.462686567,24,106,26.4,1260,74,0,0
