"Year","Team","Players","Position","Base.Salary","Base.Num"
"2017","crystal Palace","Jeffrey Schlupp","D","2912000",2.912
"2017","crystal Palace","Luka Milivojevic","M","2860000",2.86
"2017","crystal Palace","Jairo Riedewald","D","2860000",2.86
"2017","crystal Palace","Bakary Sako","M","2860000",2.86
"2017","crystal Palace","Andros Townsend","F","2860000",2.86
"2017","crystal Palace","Patrick Van Aanholt","D","2860000",2.86
"2017","crystal Palace","James McArthur","M","2600000",2.6
"2017","crystal Palace","James Tomkins","D","2600000",2.6
"2017","crystal Palace","Wayne Hennessey","GK","2080000",2.08
"2017","crystal Palace","Ruben Loftus-Cheek","M","1820000",1.82
"2017","crystal Palace","Jason Puncheon","M","1820000",1.82
"2017","crystal Palace","Joel Ward","D","1820000",1.82
"2017","crystal Palace","Pape Souare","D","1560000",1.56
"2017","crystal Palace","Damien Delaney","D","1300000",1.3
"2017","crystal Palace","Martin Kelly","D","1300000",1.3
"2017","crystal Palace","Chung-Yong Lee","F","1300000",1.3
"2017","crystal Palace","Julian Speroni","GK","1300000",1.3
"2017","crystal Palace","Timothy Fosu-Mensah","D","780000",0.78
"2017","crystal Palace","Alexander Sörloth","F","520000",0.52
"2017","crystal Palace","Aaron Wan-Bissaka","D","390000",0.39
"2017","crystal Palace","Diego Cavalieri","GK",NA,NA
"2017","crystal Palace","Jaroslaw Jach","D",NA,NA
"2017","crystal Palace","Erdal Rakip","M",NA,NA
"2017","everton Fc","Wayne Rooney","F","8320000",8.32
"2017","everton Fc","Eliaquim Mangala","D","5200000",5.2
"2017","everton Fc","Morgan Schneiderlin","M","5200000",5.2
"2017","everton Fc","Gylfi Sigurdsson","M","5200000",5.2
"2017","everton Fc","Yannick Bolasie","F","3900000",3.9
"2017","everton Fc","Leighton Baines","D","3640000",3.64
"2017","everton Fc","Davy Klaassen","M","3640000",3.64
"2017","everton Fc","Ashley Williams","D","3640000",3.64
"2017","everton Fc","Michael Keane","D","3120000",3.12
"2017","everton Fc","Jordan Pickford","GK","3120000",3.12
"2017","everton Fc","Cenk Tosun","F","3120000",3.12
"2017","everton Fc","Oumar Niasse","F","2860000",2.86
"2017","everton Fc","Phil Jagielka","D","2600000",2.6
"2017","everton Fc","James McCarthy","M","2600000",2.6
"2017","everton Fc","Theo Walcott","F","2600000",2.6
"2017","everton Fc","Idrissa Gueye","M","2340000",2.34
"2017","everton Fc","Ramiro Funes Mori","D","2080000",2.08
"2017","everton Fc","Seamus Coleman","D","1976000",1.976
"2017","everton Fc","Cuco Martina","D","1820000",1.82
"2017","everton Fc","Maarten Stekelenburg","GK","1560000",1.56
"2017","everton Fc","Luke Garbutt","D","1456000",1.456
"2017","everton Fc","Tom Davies","M","1300000",1.3
"2017","everton Fc","Mason Holgate","D","1300000",1.3
"2017","everton Fc","Nikola Vlasic","M","1300000",1.3
"2017","everton Fc","Dominic Calvert-Lewin","F","1040000",1.04
"2017","everton Fc","Joel Robles","GK","1040000",1.04
"2017","everton Fc","Jonjoe Kenny","D","780000",0.78
"2017","everton Fc","Shani Tarashaj","F","780000",0.78
"2017","everton Fc","Conor Grant","M","156000",0.156
"2017","everton Fc","Beni Baningime","M","104000",0.104
"2017","fulham Fc","Aleksandar Mitrovic","F","3120000",3.12
"2017","fulham Fc","Marcus Bettinelli","GK","1820000",1.82
"2017","fulham Fc","Matt Targett","D","1820000",1.82
"2017","fulham Fc","Tomas Kalas","D","1196000",1.196
"2017","fulham Fc","Cyrus Christie","D","1040000",1.04
"2017","fulham Fc","Neeskens Kebano","M","700000",0.7
"2017","fulham Fc","Ibrahima Cissé","M","650000",0.65
"2017","fulham Fc","Aboubakar Kamara","F","650000",0.65
"2017","fulham Fc","Oliver Norwood","M","624000",0.624
"2017","fulham Fc","Stefan Johansen","M","520000",0.52
"2017","fulham Fc","Sheyi Ojo","F","520000",0.52
"2017","fulham Fc","Denis Odoi","D","462800",0.4628
"2017","fulham Fc","Floyd Ayité","F","416000",0.416
"2017","fulham Fc","Ryan Sessegnon","M","416000",0.416
"2017","fulham Fc","Rui Fonte","F",NA,NA
"2017","leeds United Fc","Ezgjan Alioski","M","780000",0.78
"2017","leeds United Fc","Matthew Pennington","D","780000",0.78
"2017","leeds United Fc","Eunan O'Kane","M","676000",0.676
"2017","leeds United Fc","Gaetano Berardi","D","468000",0.468
"2017","leeds United Fc","Ouasim Bouy","M","457600",0.4576
"2017","leeds United Fc","Jay-Roy Grot","F","371800",0.3718
"2017","leeds United Fc","Conor Shaughnessy","M","371800",0.3718
"2017","leeds United Fc","Tyler Roberts","M","182000",0.182
"2017","leeds United Fc","Laurens De Bock","D",NA,NA
"2017","leeds United Fc","Kun Temenuzhkov","F",NA,NA
"2017","leicester City","Riyad Mahrez","F","5200000",5.2
"2017","leicester City","Jamie Vardy","F","5200000",5.2
"2017","leicester City","Kasper Schmeichel","GK","4160000",4.16
"2017","leicester City","Adrien Silva","M","4160000",4.16
"2017","leicester City","Ben Chilwell","D","3380000",3.38
"2017","leicester City","Kelechi Iheanacho","F","3120000",3.12
"2017","leicester City","Wes Morgan","D","3120000",3.12
"2017","leicester City","Demarai Gray","F","2860000",2.86
"2017","leicester City","Vicente Iborra","M","2860000",2.86
"2017","leicester City","Aleksandar Dragovic","D","2652000",2.652
"2017","leicester City","Christian Fuchs","D","2600000",2.6
"2017","leicester City","Marc Albrighton","M","2340000",2.34
"2017","leicester City","Danny Simpson","D","2340000",2.34
"2017","leicester City","Yohan Benalouane","D","2080000",2.08
"2017","leicester City","Harry Maguire","D","2080000",2.08
"2017","leicester City","Robert Huth","D","1976000",1.976
"2017","leicester City","Onyinye Ndidi","M","1820000",1.82
"2017","leicester City","Shinji Okazaki","F","1820000",1.82
"2017","leicester City","Matty James","M","1664000",1.664
"2017","leicester City","Eldin Jakupovic","GK","1196000",1.196
"2017","leicester City","Daniel Amartey","M","1092000",1.092
"2017","leicester City","Fousseni Diabaté","F","780000",0.78
"2017","leicester City","Ben Hamer","GK","624000",0.624
"2017","leicester City","Hamza Choudhury","M","416000",0.416
"2017","leicester City","Josh Knight","D","104000",0.104
"2017","leicester City","Callum Elder","D",NA,NA
"2017","liverpool Fc","James Milner","M","7280000",7.28
"2017","liverpool Fc","Alex Oxlade-Chamberlain","M","6240000",6.24
"2017","liverpool Fc","Mohamed Salah","F","6240000",6.24
"2017","liverpool Fc","Roberto Firmino","F","5200000",5.2
"2017","liverpool Fc","Jordan Henderson","M","5200000",5.2
"2017","liverpool Fc","Dejan Lovren","D","5200000",5.2
"2017","liverpool Fc","Joel Matip","D","5200000",5.2
"2017","liverpool Fc","Sadio Mane","F","4680000",4.68
"2017","liverpool Fc","Virgil Van Dijk","D","4680000",4.68
"2017","liverpool Fc","Georginio Wijnaldum","M","4680000",4.68
"2017","liverpool Fc","Danny Ings","F","3900000",3.9
"2017","liverpool Fc","Nathaniel Clyne","D","3640000",3.64
"2017","liverpool Fc","Adam Lallana","M","3380000",3.38
"2017","liverpool Fc","Simon Mignolet","GK","3120000",3.12
"2017","liverpool Fc","Ragnar Klavan","D","2860000",2.86
"2017","liverpool Fc","Andrew Robertson","D","2600000",2.6
"2017","liverpool Fc","Emre Can","M","2340000",2.34
"2017","liverpool Fc","Alberto Moreno","D","2080000",2.08
"2017","liverpool Fc","Joe Gomez","D","1560000",1.56
"2017","liverpool Fc","Loris Karius","GK","1300000",1.3
"2017","liverpool Fc","Dominic Solanke","F","1300000",1.3
"2017","liverpool Fc","Adam Bogdan","GK","1248000",1.248
"2017","liverpool Fc","Danny Ward","GK","936000",0.936
"2017","liverpool Fc","Tren Alexander-Arnold","D","624000",0.624
"2017","liverpool Fc","Ben Woodburn","F","624000",0.624
"2017","liverpool Fc","Kamil Grabara","GK","400000",0.4
"2017","liverpool Fc","Harry Wilson","M","208000",0.208
"2017","liverpool Fc","Ovie Ejaria","M","104000",0.104
