Year,Team,Players,Position,Base.Salary,Base.Num
2019,fulham Fc,Andre-Frank Zambo Anguissa,M,3484000,3.484
2019,fulham Fc,Jean Michael Seri,M,3380000,3.38
2019,fulham Fc,Ivan Cavaleiro,F,3120000,3.12
2019,fulham Fc,Aleksandar Mitrovic,F,3120000,3.12
2019,fulham Fc,Michael Hector,D,2600000,2.6
2019,fulham Fc,Fabricio Agosto Ramírez,GK,2340000,2.34
2019,fulham Fc,Joshua Onomah,M,2340000,2.34
2019,fulham Fc,Bobby Reid,M,2340000,2.34
2019,fulham Fc,Tom Cairney,M,2080000,2.08
2019,fulham Fc,Marcus Bettinelli,GK,1820000,1.82
2019,fulham Fc,Anthony Knockaert,F,1820000,1.82
2019,fulham Fc,Alfie Mawson,D,1664000,1.664
2019,fulham Fc,Joe Bryan,D,1560000,1.56
2019,fulham Fc,Tim Ream,D,1404000,1.404
2019,fulham Fc,Maxime le Marchand,D,1300000,1.3
2019,fulham Fc,Kevin McDonald,M,1144000,1.144
2019,fulham Fc,Cyrus Christie,D,1040000,1.04
2019,fulham Fc,Neeskens Kebano,M,700000,0.7
2019,fulham Fc,Ibrahima Cissé,M,650000,0.65
2019,fulham Fc,Aboubakar Kamara,F,650000,0.65
2019,fulham Fc,Harrison Reed,M,624000,0.624
2019,fulham Fc,Stefan Johansen,M,520000,0.52
2019,fulham Fc,Floyd Ayité,F,416000,0.416
2019,fulham Fc,Jordan Archer,GK,0,0
2019,fulham Fc,Steven Sessegnon,D,0,0
2019,leeds United Fc,Patrick Bamford,F,1820000,1.82
2019,leeds United Fc,Kiko Casilla,GK,1670000,1.67
2019,leeds United Fc,Adam Forshaw,M,1040000,1.04
2019,leeds United Fc,Pablo Hernández,M,988000,0.988
2019,leeds United Fc,Ezgjan Alioski,M,780000,0.78
2019,leeds United Fc,Eunan O'Kane,M,676000,0.676
2019,leeds United Fc,Barry Douglas,D,520000,0.52
2019,leeds United Fc,Gaetano Berardi,D,468000,0.468
2019,leeds United Fc,Ouasim Bouy,M,457600,0.4576
2019,leeds United Fc,Luke Ayling,D,416000,0.416
2019,leeds United Fc,Stuart Dallas,M,416000,0.416
2019,leeds United Fc,Mateusz Klich,M,403000,0.403
2019,leeds United Fc,Jay-Roy Grot,F,371800,0.3718
2019,leeds United Fc,Conor Shaughnessy,M,371800,0.3718
2019,leeds United Fc,Pascal Struijk,D,371800,0.3718
2019,leeds United Fc,Liam Cooper,D,338000,0.338
2019,leeds United Fc,Kalvin Phillips,M,234000,0.234
2019,leeds United Fc,Tyler Roberts,M,182000,0.182
2019,leeds United Fc,Leif Davis,D,31000,0.031
2019,leeds United Fc,Elia Caprile,GK,0,0
2019,leeds United Fc,Laurens De Bock,D,0,0
2019,leeds United Fc,Robbie Gotts,M,0,0
2019,leeds United Fc,Bryce Hosannah,D,0,0
2019,leeds United Fc,Alfie McCalmont,M,0,0
2019,leeds United Fc,Liam McCarron,M,0,0
2019,leeds United Fc,Kamil Miazek,GK,0,0
2019,leeds United Fc,Rafa Mújica,F,0,0
2019,leeds United Fc,Jordan Stevens,M,0,0
2019,leeds United Fc,Kun Temenuzhkov,F,0,0
2019,leicester City,Kasper Schmeichel,GK,"6,760,000",6.76
2019,leicester City,Jamie Vardy,F,7280000,7.28
2019,leicester City,Dennis Praet,M,4500000,4.5
2019,leicester City,Jonny Evans,D,4160000,4.16
2019,leicester City,Adrien Silva,M,4160000,4.16
2019,leicester City,Onyinye Ndidi,M,3900000,3.9
2019,leicester City,Ricardo Pereira,D,3640000,3.64
2019,leicester City,Ben Chilwell,D,3380000,3.38
2019,leicester City,Kelechi Iheanacho,F,3120000,3.12
2019,leicester City,Wes Morgan,D,3120000,3.12
2019,leicester City,Demarai Gray,F,2860000,2.86
2019,leicester City,Vicente Iborra,M,2860000,2.86
2019,leicester City,James Maddison,M,2860000,2.86
2019,leicester City,Christian Fuchs,D,2600000,2.6
2019,leicester City,Nampalys Mendy,M,2600000,2.6
2019,leicester City,Marc Albrighton,M,2340000,2.34
2019,leicester City,Ayoze Perez,F,2340000,2.34
2019,leicester City,Caglar Soyuncu,D,2340000,2.34
2019,leicester City,Youri Tielemans,M,1718000,1.718
2019,leicester City,Matty James,M,1664000,1.664
2019,leicester City,Bartosz Kapustka,M,1560000,1.56
2019,leicester City,Eldin Jakupovic,GK,1196000,1.196
2019,leicester City,Daniel Amartey,M,1092000,1.092
2019,leicester City,Ryan Bennett,D,1040000,1.04
2019,leicester City,Danny Ward,GK,1040000,1.04
2019,leicester City,Harvey Barnes,M,520000,0.52
2019,leicester City,James Justin,D,429000,0.429
2019,leicester City,Hamza Choudhury,M,390000,0.39
2019,liverpool Fc,Alisson Becker,GK,"7,800,000",7.8
2019,liverpool Fc,Adrian San Miguel del Castillo,GK,"2,600,000",2.6
2019,liverpool Fc,Mohamed Salah,F,10400000,10.4
2019,liverpool Fc,Roberto Firmino,F,9360000,9.36
2019,liverpool Fc,Virgil Van Dijk,D,9360000,9.36
2019,liverpool Fc,Jordan Henderson,M,7280000,7.28
2019,liverpool Fc,James Milner,M,7280000,7.28
2019,liverpool Fc,Naby Keita,M,6240000,6.24
2019,liverpool Fc,Alex Oxlade-Chamberlain,M,6240000,6.24
2019,liverpool Fc,Adam Lallana,M,5720000,5.72
2019,liverpool Fc,Dejan Lovren,D,5200000,5.2
2019,liverpool Fc,Sadio Mane,F,5200000,5.2
2019,liverpool Fc,Joel Matip,D,5200000,5.2
2019,liverpool Fc,Fabinho Tavares,M,5200000,5.2
2019,liverpool Fc,Georginio Wijnaldum,M,4680000,4.68
2019,liverpool Fc,Xherdan Shaqiri,M,4160000,4.16
2019,liverpool Fc,Tren Alexander-Arnold,D,3900000,3.9
2019,liverpool Fc,Joe Gomez,D,3900000,3.9
