,year,player,squad,position,age,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
195,2019,George Hirst,Leicester City,FW,20,2,0,11,0,0,0,0,0,0,0.00,0.00,0.00,0.00
196,2019,Rob Holding,Arsenal,DF,23,8,6,581,0,0,0,0,1,0,0.00,0.00,0.00,0.00
197,2019,José Holebas,Watford,DF,35,14,11,"1,025",0,0,0,0,5,0,0.00,0.00,0.00,0.00
198,2019,Mason Holgate,Everton,DF,22,27,24,"2,054",0,3,0,0,5,0,0.00,0.13,0.00,0.13
199,2019,Nathan Holland,West Ham,MF,21,2,0,33,0,0,0,0,0,0,0.00,0.00,0.00,0.00
200,2019,Conor Hourihane,Aston Villa,MF,28,27,18,"1,534",3,5,0,0,4,0,0.18,0.47,0.18,0.47
201,2019,Callum Hudson-Odoi,Chelsea,FW,18,22,7,863,1,5,0,0,1,0,0.10,0.63,0.10,0.63
202,2019,Will Hughes,Watford,"MF,FW",24,30,27,"2,252",1,1,0,0,9,0,0.04,0.08,0.04,0.08
203,2019,Pierre Højbjerg,Southampton,MF,23,33,30,"2,752",0,1,0,0,5,0,0.00,0.03,0.00,0.03
204,2019,Jordon Ibe,Bournemouth,DF,23,2,0,50,0,0,0,0,0,0,0.00,0.00,0.00,0.00
205,2019,Adam Idah,Norwich City,"FW,MF",18,12,1,228,0,0,0,0,0,0,0.00,0.00,0.00,0.00
206,2019,Odion Ighalo,Manchester Utd,FW,30,11,0,101,0,0,0,0,0,0,0.00,0.00,0.00,0.00
207,2019,Kelechi Iheanacho,Leicester City,FW,22,20,12,960,5,3,0,0,1,0,0.47,0.75,0.47,0.75
208,2019,Danny Ings,Southampton,FW,27,38,32,"2,804",22,2,1,2,3,0,0.71,0.77,0.67,0.74
209,2019,Alex Iwobi,Everton,"MF,FW",23,25,19,"1,596",1,0,0,0,0,0,0.06,0.06,0.06,0.06
210,2019,Phil Jagielka,Sheffield Utd,DF,36,6,2,244,0,0,0,0,0,0,0.00,0.00,0.00,0.00
211,2019,Alireza Jahanbakhsh,Brighton,"FW,MF",25,10,3,311,2,0,0,0,0,0,0.58,0.58,0.58,0.58
212,2019,Daniel James,Manchester Utd,FW,21,33,26,"2,287",3,6,0,0,4,0,0.12,0.35,0.12,0.35
213,2019,Matty James,Leicester City,MF,28,1,0,6,0,0,0,0,0,0,0.00,0.00,0.00,0.00
214,2019,Reece James,Chelsea,DF,19,24,16,"1,515",0,2,0,0,1,0,0.00,0.12,0.00,0.12
215,2019,Daryl Janmaat,Watford,DF,30,8,7,607,0,1,0,0,1,0,0.00,0.15,0.00,0.15
216,2019,Gabriel Jesus,Manchester City,FW,22,34,21,"2,030",14,7,0,1,3,0,0.62,0.93,0.62,0.93
217,2019,Raúl Jiménez,Wolves,FW,28,38,37,"3,236",17,6,4,4,3,0,0.47,0.64,0.36,0.53
218,2019,Joelinton,Newcastle Utd,FW,22,38,32,"2,683",2,2,0,0,7,0,0.07,0.13,0.07,0.13
219,2019,Ben Johnson,West Ham,DF,19,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00
220,2019,Curtis Jones,Liverpool,MF,18,6,1,126,1,0,0,0,0,0,0.71,0.71,0.71,0.71
221,2019,Phil Jones,Manchester Utd,DF,27,2,2,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00
222,2019,Bruno Jordão,Wolves,FW,20,1,0,7,0,0,0,0,0,0,0.00,0.00,0.00,0.00
